Id,MSSubClass,LotFrontage,LotArea,LotShape,LandContour,Utilities,LotConfig,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,HouseAge,YearsSinceRemod,TotalBath,TotalPorchSF,TotalSF,OverallQual_SF,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Street_Grvl,Street_Pave,Alley_Grvl,Alley_Missing,Alley_Pave,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Artery,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE
1,60,65.0,-0.09938508016811125,Reg,Lvl,AllPub,Inside,Gtl,7,5,2003,2003,CompShg,VinylSd,VinylSd,196.0,2,4,PConc,2,4,No,GLQ,706,Unf,0,150,-0.48832082880001726,GasA,0,Y,SBrkr,-0.7934337933349002,1.1618515874685553,0,0.5546427739102565,1,0,2,1,3,1,2,8,Typ,0,Attchd,2003.0,RFn,2,548,5,5,Y,0,61,0,0,0,0,3,2,Missing,0,2,2008,WD,Normal,12.24769911637256,-1.0432593655921558,5,3.5,61,2566,0.5098122077833293,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2,20,80.0,0.17977851148184237,Reg,Lvl,AllPub,FR2,Gtl,6,8,1976,1976,CompShg,MetalSd,MetalSd,0.0,3,4,CBlock,2,4,Gd,ALQ,978,Unf,0,284,0.5322885053589688,GasA,0,Y,SBrkr,0.25714042978945445,-0.7951632272572445,0,-0.38147224718882294,0,1,2,0,3,1,3,6,Typ,1,Attchd,1976.0,RFn,2,460,5,5,Y,298,0,0,0,0,0,3,2,Missing,0,5,2007,WD,Normal,12.109016442313738,-0.1834650642921507,31,2.5,0,2524,-0.4240210709354756,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3,60,68.0,0.5267892024719507,IR1,Lvl,AllPub,Inside,Gtl,7,5,2001,2002,CompShg,VinylSd,VinylSd,162.0,2,4,PConc,2,4,Mn,GLQ,486,Unf,0,434,-0.32743659878480763,GasA,0,Y,SBrkr,-0.6278260340246571,1.1893506246778172,0,0.6886525646884699,1,0,2,1,3,1,2,6,Typ,1,Attchd,2001.0,RFn,2,608,5,5,Y,0,42,0,0,0,0,3,2,Missing,0,9,2008,WD,Normal,12.317171167298682,-0.9771213424152324,6,3.5,42,2706,0.6227724861549536,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
4,70,60.0,0.16835355423403997,IR1,Lvl,AllPub,Corner,Gtl,7,5,1915,1970,CompShg,Wd Sdng,Wd Shng,0.0,3,4,BrkTil,4,1,No,ALQ,216,Unf,0,540,-0.7397024381987823,GasA,2,Y,SBrkr,-0.5217335632165325,0.9372761169262505,0,0.567232188913142,1,0,1,0,3,1,2,7,Typ,1,Detchd,1998.0,Unf,3,642,5,5,Y,0,35,272,0,0,0,3,2,Missing,0,2,2006,WD,Abnorml,11.849404844423074,1.8006756310155536,36,2.0,307,2473,0.5202164439491368,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
5,60,84.0,1.045526080186469,IR1,Lvl,AllPub,FR2,Gtl,8,5,2000,2000,CompShg,VinylSd,VinylSd,350.0,2,4,PConc,2,4,Av,GLQ,655,Unf,0,490,0.23817202236241367,GasA,0,Y,SBrkr,-0.045611255199583686,1.6178772878554806,0,1.3283699277533934,1,0,2,1,4,1,2,9,Typ,1,Attchd,2000.0,RFn,3,836,5,5,Y,192,84,0,0,0,0,3,2,Missing,0,12,2008,WD,Normal,12.429220196836384,-0.9440523308267706,8,3.5,84,3343,1.7018404084944185,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
6,50,85.0,1.0231644723138578,IR1,Lvl,AllPub,Inside,Gtl,5,5,1993,1995,CompShg,VinylSd,VinylSd,0.0,3,4,Wood,2,4,No,GLQ,732,Unf,0,64,-0.6391497944392763,GasA,0,Y,SBrkr,-0.9486910676882531,0.5018746944462716,0,-0.14651452041671637,1,0,1,1,1,1,3,5,Typ,0,Attchd,1993.0,Unf,2,480,5,5,Y,40,30,0,320,0,0,3,3,Shed,700,10,2009,WD,Normal,11.870606902224589,-0.6795002381190768,14,2.5,350,2158,-0.5858175598812986,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
7,20,75.0,0.2873935921737456,Reg,Lvl,AllPub,Inside,Gtl,8,5,2004,2005,CompShg,VinylSd,VinylSd,186.0,2,4,PConc,0,4,Av,GLQ,1369,Unf,0,317,1.5981465292097325,GasA,0,Y,SBrkr,1.3749928051335953,-0.7951632272572445,0,0.5256724783817242,1,0,2,0,3,1,2,7,Typ,1,Attchd,2004.0,RFn,2,636,5,5,Y,255,57,0,0,0,0,3,2,Missing,0,8,2007,WD,Normal,12.63460628389302,-1.1093973887690793,2,3.0,57,3380,0.8457204039936861,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
8,60,69.0,0.35111263900157735,IR1,Lvl,AllPub,Corner,Gtl,7,6,1973,1973,CompShg,HdBoard,HdBoard,240.0,3,4,CBlock,2,4,Mn,ALQ,859,BLQ,32,216,0.14264701079088296,GasA,0,Y,SBrkr,-0.14394086229004052,1.45746623746812,0,1.1730838115110889,1,0,2,1,3,1,3,7,Typ,2,Attchd,1973.0,RFn,2,484,5,5,Y,235,204,228,0,0,0,3,2,Shed,350,11,2009,WD,Normal,12.206077645517674,-0.018120006349842004,36,3.5,432,3197,1.0746135996414514,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
9,50,51.0,-0.8051779914376115,Reg,Lvl,AllPub,Inside,Gtl,7,5,1931,1950,CompShg,BrkFace,Wd Shng,0.0,3,4,BrkTil,4,4,No,Unf,0,Unf,0,952,-0.24699448377720284,GasA,2,Y,FuseF,-0.3638886676239571,0.9281097711898298,0,0.6678764963189642,0,0,2,0,2,2,3,8,Min1,2,Detchd,1931.0,Unf,2,468,1,5,Y,90,0,205,0,0,0,3,2,Missing,0,4,2008,WD,Abnorml,11.774527900858468,1.3377094687770892,58,2.0,205,2726,0.604936652727855,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
10,190,50.0,-0.3837749038607706,Reg,Lvl,AllPub,Corner,Gtl,5,6,1939,1950,CompShg,MetalSd,MetalSd,0.0,3,4,BrkTil,4,4,No,GLQ,851,Unf,0,140,-0.1489556561116845,GasA,0,Y,SBrkr,-0.22156949946671697,-0.7951632272572445,0,-0.8698447864548597,1,0,1,0,2,2,3,5,Typ,2,Attchd,1939.0,RFn,1,205,2,5,Y,0,4,0,0,0,0,3,2,Missing,0,1,2008,WD,Normal,11.678448377988165,1.0731573760693953,58,2.0,4,2068,-0.8883897340910069,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
11,20,70.0,0.5170434940354826,Reg,Lvl,AllPub,Inside,Gtl,5,5,1965,1965,CompShg,HdBoard,HdBoard,0.0,3,4,CBlock,4,4,No,Rec,906,Unf,0,134,-0.02577866750628962,GasA,0,Y,SBrkr,-0.3173114853179513,-0.7951632272572445,0,-0.9775382394954849,1,0,1,0,3,1,3,5,Typ,0,Detchd,1965.0,Unf,1,384,5,5,Y,0,0,0,0,0,0,3,2,Missing,0,2,2008,WD,Normal,11.771443882099636,0.21336307476939018,43,2.0,0,2080,-0.9276710339006883,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
12,60,85.0,0.6540930764884328,IR1,Lvl,AllPub,Inside,Gtl,9,5,2005,2006,CompShg,WdShing,Wd Shng,286.0,0,4,PConc,0,4,No,GLQ,998,Unf,0,177,0.3135865051820432,GasA,0,Y,SBrkr,0.0501307306516506,1.8218284804908391,0,1.5001744824179881,1,0,3,0,4,1,0,11,Typ,2,BuiltIn,2005.0,Fin,3,736,5,5,Y,147,21,0,0,0,0,3,2,Missing,0,7,2006,New,Partial,12.75130259456002,-1.1755354119460029,0,4.0,21,3499,2.4093284677693294,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
