id,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps,Other_Faults
0,584,590,909972,909977.0,16,8.0,5.0,2274,113.0,140.0,1358,False,True,50,0.7393,0.4,0.5,0.0059,1.0,1.0,0.0,1.2041,0.9031,0.699,-0.5,-0.0104,0.1417,0,0,0,1,0,0,0
1,808,816,728350,728372.0,433,20.0,54.0,44478,70.0,111.0,1687,True,False,80,0.7772,0.2878,0.2581,0.0044,0.25,1.0,1.0,2.6365,0.7782,1.7324,0.7419,-0.2997,0.9491,0,0,0,0,0,0,1
2,39,192,2212076,2212144.0,1499,137.5,131.5,155173,29.0,141.0,1400,False,True,40,0.0557,0.5282,0.9895,0.037849999999999995,0.2363,0.3857,0.0,4.0564,2.0785,2.2095,-0.0105,-0.0944,1.0,0,0,1,0,0,0,0
3,781,789,3353146,3353173.0,210,16.0,29.0,3202,114.0,134.0,1387,False,True,40,0.7202,0.3333,0.3333,0.0044,0.375,0.931,1.0,2.3222,0.7782,1.4314,0.6667,-0.0402,0.4025,0,0,1,0,0,0,0
4,1540,1560,618457,618502.0,521,72.0,67.0,48231,82.0,111.0,1692,False,True,140,0.1211,0.5347,0.0842,0.0192,0.2105,0.9861,1.0,2.7694,1.415,1.8808,0.9158,-0.2455,0.9998,0,0,0,0,0,0,1
5,1009,1033,899231,899307.0,409,22.0,26.0,47513,86.0,118.0,1650,True,False,70,0.2761,0.4136,0.4091,0.0053,0.5454,1.0,1.0,2.6117,0.9542,1.415,0.5909,-0.189,0.8749,0,0,0,0,0,0,1
6,596,607,739072,4920024.5,204,21.0,21.0,22478,89.0,127.0,1373,False,True,40,0.8331,0.2744,0.6842,0.011,0.7143,1.0,1.0,2.3096,1.1761,1.3222,0.3158,-0.1497,0.5212,0,0,0,0,0,1,0
7,1673,1687,294065,294091.0,571,38.0,57.0,53142,77.0,110.0,1692,False,True,140,0.1491,0.4326,0.9643,0.0142,0.5686,0.7179,1.0,2.7528,1.3802,1.7559,0.0357,-0.2661,0.9408,1,0,0,0,0,0,0
8,507,521,203252,203261.0,101,25.0,12.0,12530,124.0,140.0,1360,False,True,40,0.721,0.4815,0.3333,0.0176,0.8,0.75,0.0,2.0043,1.3802,0.7782,-0.6667,0.0305,0.3601,0,0,0,0,0,0,0
9,893,907,1341292,1341296.0,54,6.0,15.0,7052,87.0,133.0,1687,True,False,60,0.8088,0.2,0.5333,0.0037,0.8333,1.0,1.0,1.7324,0.699,1.1761,0.4667,-0.1228,0.14,0,0,0,0,0,1,0
10,1122,1133,618457,618502.0,289,37.0,42.0,32358,84.0,127.0,1360,False,True,140,0.3187,0.5245,0.8824,0.0125,0.3778,0.6667,1.0,2.4609,1.2305,1.4472,0.1177,-0.2313,0.8705,0,0,0,0,0,1,0
11,1313,1324,2421293,2421292.0,116,27.0,29.0,9120,105.0,127.0,1356,False,True,40,0.0047,0.2273,0.2903,0.0126,0.5294,0.931,1.0,2.0645,1.2305,1.4624,0.7097,-0.0631,0.2901,0,0,0,0,0,0,1
12,1553,1563,2533145,2533151.0,75,12.0,11.0,7987,77.0,118.0,1686,True,False,60,0.1182,0.3333,0.9167,0.0053,0.75,1.0,1.0,1.8751,0.9542,1.0414,0.0833,-0.2631,0.2051,0,0,0,0,0,0,0
13,974,985,1211728,1211795.0,81,14.0,13.0,9137,148.0,151.5,1387,False,True,40,0.8659,0.2727,0.6923,0.0066,0.6429,0.9231,1.0,1.9085,0.9542,1.1139,0.3077,0.07875,0.2253,0,0,0,0,0,0,1
14,39,220,1835934,1836000.0,1499,137.5,131.5,155173,40.0,124.0,1356,False,True,40,0.0574,0.4571,0.4124,0.037849999999999995,0.5662,0.4853,0.0,3.8224,2.0785,1.8195,-0.5876,-0.1891,1.0,0,0,1,0,0,0,0
15,1,250,4383724,4383803.0,1499,137.5,131.5,155173,25.0,143.0,1398,False,True,40,0.0,0.494,0.88,0.037849999999999995,0.2268,0.3511,0.0,4.113150000000001,2.0785,2.2833,-0.12,-0.0717,1.0,0,0,1,0,0,0,0
