Id,MSSubClass,LotFrontage,LotArea,LotShape,LandContour,Utilities,LotConfig,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,HouseAge,YearsSinceRemod,TotalBath,TotalPorchSF,TotalSF,OverallQual_SF,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Street_Grvl,Street_Pave,Alley_Grvl,Alley_Missing,Alley_Pave,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Artery,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE
1,60,65.0,9.042040056544485,Reg,Lvl,AllPub,Inside,Gtl,7,5,2003,2003,CompShg,VinylSd,VinylSd,196.0,2,4,PConc,2,4,No,GLQ,706,Unf,0,150,856,GasA,0,Y,SBrkr,856,854,0,7.444833273892193,1,0,2,1,3,1,2,8,Typ,0,Attchd,2003.0,RFn,2,548,5,5,Y,0,61,0,0,0,0,3,2,Missing,0,2,2008,WD,Normal,12.24769911637256,5,5,3.5,61,2566,11970.0,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2,20,80.0,9.169622538697624,Reg,Lvl,AllPub,FR2,Gtl,6,8,1976,1976,CompShg,MetalSd,MetalSd,0.0,3,4,CBlock,2,4,Gd,ALQ,978,Unf,0,284,1262,GasA,0,Y,SBrkr,1262,0,0,7.141245122350491,0,1,2,0,3,1,3,6,Typ,1,Attchd,1976.0,RFn,2,460,5,5,Y,298,0,0,0,0,0,3,2,Missing,0,5,2007,WD,Normal,12.109016442313738,31,31,2.5,0,2524,7572.0,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3,60,68.0,9.328212292571072,IR1,Lvl,AllPub,Inside,Gtl,7,5,2001,2002,CompShg,VinylSd,VinylSd,162.0,2,4,PConc,2,4,Mn,GLQ,486,Unf,0,434,920,GasA,0,Y,SBrkr,920,866,0,7.488293515159428,1,0,2,1,3,1,2,6,Typ,1,Attchd,2001.0,RFn,2,608,5,5,Y,0,42,0,0,0,0,3,2,Missing,0,9,2008,WD,Normal,12.317171167298682,7,6,3.5,42,2706,12502.0,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
4,70,60.0,9.164401140034736,IR1,Lvl,AllPub,Corner,Gtl,7,5,1915,1970,CompShg,Wd Sdng,Wd Shng,0.0,3,4,BrkTil,4,1,No,ALQ,216,Unf,0,540,756,GasA,2,Y,SBrkr,961,756,0,7.4489161025442,1,0,1,0,3,1,2,7,Typ,1,Detchd,1998.0,Unf,3,642,5,5,Y,0,35,272,0,0,0,3,2,Missing,0,2,2006,WD,Abnorml,11.849404844423074,91,36,2.0,307,2473,12019.0,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
5,60,84.0,9.565283817736766,IR1,Lvl,AllPub,FR2,Gtl,8,5,2000,2000,CompShg,VinylSd,VinylSd,350.0,2,4,PConc,2,4,Av,GLQ,655,Unf,0,490,1145,GasA,0,Y,SBrkr,1145,1053,0,7.695757990554761,1,0,2,1,4,1,2,9,Typ,1,Attchd,2000.0,RFn,3,836,5,5,Y,192,84,0,0,0,0,3,2,Missing,0,12,2008,WD,Normal,12.429220196836384,8,8,3.5,84,3343,17584.0,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
6,50,85.0,9.55506418479516,IR1,Lvl,AllPub,Inside,Gtl,5,5,1993,1995,CompShg,VinylSd,VinylSd,0.0,3,4,Wood,2,4,No,GLQ,732,Unf,0,64,796,GasA,0,Y,SBrkr,796,566,0,7.217443431696533,1,0,1,1,1,1,3,5,Typ,0,Attchd,1993.0,Unf,2,480,5,5,Y,40,30,0,320,0,0,3,3,Shed,700,10,2009,WD,Normal,11.870606902224589,16,14,2.5,350,2158,6810.0,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
7,20,75.0,9.218804450388312,Reg,Lvl,AllPub,Inside,Gtl,8,5,2004,2005,CompShg,VinylSd,VinylSd,186.0,2,4,PConc,0,4,Av,GLQ,1369,Unf,0,317,1686,GasA,0,Y,SBrkr,1694,0,0,7.43543801981455,1,0,2,0,3,1,2,7,Typ,1,Attchd,2004.0,RFn,2,636,5,5,Y,255,57,0,0,0,0,3,2,Missing,0,8,2007,WD,Normal,12.63460628389302,3,2,3.0,57,3380,13552.0,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
8,60,69.0,9.247925132303454,IR1,Lvl,AllPub,Corner,Gtl,7,6,1973,1973,CompShg,HdBoard,HdBoard,240.0,3,4,CBlock,2,4,Mn,ALQ,859,BLQ,32,216,1107,GasA,0,Y,SBrkr,1107,983,0,7.645397699428633,1,0,2,1,3,1,3,7,Typ,2,Attchd,1973.0,RFn,2,484,5,5,Y,235,204,228,0,0,0,3,2,Shed,350,11,2009,WD,Normal,12.206077645517674,36,36,3.5,432,3197,14630.0,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
9,50,51.0,8.71948076085107,Reg,Lvl,AllPub,Inside,Gtl,7,5,1931,1950,CompShg,BrkFace,Wd Shng,0.0,3,4,BrkTil,4,4,No,Unf,0,Unf,0,952,952,GasA,2,Y,FuseF,1022,752,0,7.4815557019095165,0,0,2,0,2,2,3,8,Min1,2,Detchd,1931.0,Unf,2,468,1,5,Y,90,0,205,0,0,0,3,2,Missing,0,4,2008,WD,Abnorml,11.774527900858468,77,58,2.0,205,2726,12418.0,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
10,190,50.0,8.912069097970134,Reg,Lvl,AllPub,Corner,Gtl,5,6,1939,1950,CompShg,MetalSd,MetalSd,0.0,3,4,BrkTil,4,4,No,GLQ,851,Unf,0,140,991,GasA,0,Y,SBrkr,1077,0,0,6.982862751468942,1,0,1,0,2,2,3,5,Typ,2,Attchd,1939.0,RFn,1,205,2,5,Y,0,4,0,0,0,0,3,2,Missing,0,1,2008,WD,Normal,11.678448377988165,69,58,2.0,4,2068,5385.0,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
