Feature,Importance,Feature,Importance,Feature,Importance,Feature,Importance,Feature,Importance,Feature,Importance,Feature,Importance
Orientation_Index,0.04754545625700699,Length_of_Conveyer,0.12383045662762689,LogOfAreas,0.11522449038593202,Pixels_Areas,0.10061898410179036,Orientation_Index,0.045994922101825264,Square_Index,0.03473021943572885,Empty_Index,0.03643709200350935
Empty_Index,0.03540610044997802,Steel_Plate_Thickness,0.07167536182270237,X_Range,0.11317742818576657,Log_Pixels_Areas,0.09464230826179094,Edges_Index,0.04534520622290682,Luminosity_Index,0.033213406660282316,Luminosity_Index,0.03441044535816316
Square_Index,0.03509615811105778,X_Maximum^2,0.04346402691263541,Log_X_Index,0.10798900236058197,Luminosity_Area_Product,0.08702261355508387,Edges_X_Index,0.03845590608558343,Orientation_Index,0.033146299259045865,Edges_Index,0.033120602884434185
Length_of_Conveyer,0.03443098580131909,X_Maximum,0.04093247562244661,X_Perimeter,0.07587076724415691,LogOfAreas,0.0770241362634312,Square_Index,0.03796136090399524,Empty_Index,0.03245739831349659,X_Y_Ratio,0.03288677265484905
Luminosity_Index,0.034166056570700806,X_Minimum*X_Maximum,0.03650276611840582,Pixels_Areas,0.05801010894215663,SigmoidOfAreas,0.06320530168124423,Luminosity_Index,0.03271847921805152,Luminosity_Area_Product,0.03226629555036471,X_Range,0.03277356256063498
Outside_X_Index,0.033776974482679356,X_Minimum^2,0.03070935435855441,Luminosity_Area_Product,0.05785645789285211,Steel_Plate_Thickness,0.04671857582851406,Empty_Index,0.032179723278308224,Edges_Index,0.031459719633343354,LogOfAreas,0.03192662183905443
Minimum_of_Luminosity,0.032973144840304336,Empty_Index,0.02989859698488249,Outside_X_Index,0.05339447519016553,Sum_of_Luminosity,0.04503934970625985,X_Y_Ratio,0.03135599986417761,Length_of_Conveyer,0.03130765952831885,Minimum_of_Luminosity,0.03163416601653961
Edges_Index,0.03062013760204028,TypeOfSteel_A400_True,0.029318588415923198,Log_Pixels_Areas,0.05031120646646852,Log_Sum_of_Luminosity,0.04415808917215726,X_Maximum,0.030467130372367226,Y_Perimeter,0.03102075475157792,Luminosity_Area_Product,0.030210901392366266
Edges_Y_Index,0.03061177999611355,TypeOfSteel_A300_True,0.026224636778238428,SigmoidOfAreas,0.046065637489607694,X_Perimeter,0.02720181635322001,X_Minimum*X_Maximum,0.03024596418322347,Minimum_of_Luminosity,0.030353320476992653,Steel_Plate_Thickness,0.030132103731615997
X_Y_Ratio,0.028578113421398856,X_Minimum,0.025989498375223616,Log_Sum_of_Luminosity,0.029216756331510604,Length_of_Conveyer,0.02489635926655255,Perimeter_Area_Ratio,0.029913049386791516,Pixels_Areas,0.030351464092205155,Edges_X_Index,0.0298481939729204
